name,url,logo,categories,creation date,region,street,zip_code,city
Ivex,http://www.ivex.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ivex_squared.png,"Automotive, mobility & travel",2017.0,Flanders,Kapeldreef 60,3001,Leuven
JiGSO,http://jigso.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/JiGSO_squared.png,HR & Skills,2018.0,Flanders,Antwerpsesteenweg 61,2660,Antwerpen
Kantify,http://kantify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-6_squared.png,Services,2016.0,Brussels,Avenue Louise 54,1050,Ixelles
Kerberos,http://kerberos.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Kerberos_squared.png,"Security, Cyber-Security",2014.0,Flanders,Steenweg op Dendermonde 43,9308,Aalst
Keyrock,http://keyrock.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Keyrock_squared.png,Legal & FinTech,2017.0,Brussels,Avenue Louise 480,1050,Ixelles
LiNGUiNEO,http://www.linguineo.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/LiNGUiNEO_squared.png,Chatbots & Assistants,2016.0,Flanders,Bottelarij 14 / 2,3000,Leuven
Look,http://www.look-app.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Look_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2016.0,Wallonia,SPACEROWA 13,-,NOWY KREPIEC
Lynxcare,http://lynxcare.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Lynxcare_squared.png,Healthcare & biotech,2015.0,Flanders,Tiensevest 132,3000,Leuven
Mabo E&A,http://www.agv-automation.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mabo-EngineeringAutomation_squared.png,"Automotive, mobility & travel",2011.0,Flanders,Rue Hankar 6,7080,Frameries
Macty,http://macty.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Macty_squared.png,Image & video processing,2015.0,Flanders,Interleuvenlaan 62,3001,Leuven
Magics Instruments,http://www.magics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Magics-Instruments_squared.png,Industrial,2015.0,Flanders,TH. EDISONWEG 10,5151 DJ,DRUNEN
Medical Robots,http://www.medical-robots.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Medical-Robots_squared.png,Healthcare & biotech,2016.0,Flanders,Ganzenstraat 37,2440,Geel
MH Automation,http://www.armin-robot.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/MH-Automation.jpeg,Industrial,2013.0,Wallonia,rue de la Maitrise 5C,1400,Nivelles
mindspeller,http://www.mindspeller.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/mindspeller_squared.png,Sales & Marketing,2015.0,Flanders,Duigemhofstraat 101,3020,Herent
Mintt,https://mintt.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mintt_squared.png,Image & video processing,2014.0,Wallonia,Avenue Louise 251,1050,Ixelles
ML2Grow,http://www.ml2grow.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ML2Grow_squared.png,Sales & Marketing,2017.0,Flanders,Victoriastraat 52,9000,Gent
Motulus,https://motulus.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Motulus_squared.png,"Automotive, mobility & travel",2015.0,Flanders,Antwerpsesteenweg 61,2660,Antwerpen
Movetex,http://movetex.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Movetex_squared.png,"Automotive, mobility & travel",2014.0,Flanders,Provincieweg 405,9550,Herzele
Musimap,http://www.musimap.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Musimap_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2015.0,Wallonia,Avenue Georges Benoidt 21,1170,Watermael-Boitsfort
NGData,http://www.lilyproject.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/NGData_squared.png,Legal & FinTech,2012.0,Flanders,Ottergemsesteenweg-Zuid 808 / 380,9000,Gent
Nviso,http://www.nviso.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Nviso_squared.png,"Security, Cyber-Security",2013.0,Brussels,Rue Guimard 8,1040,Bruxelles
Odase,http://www.odaseontologies.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/odaseontologies_squared.png,Services,2015.0,Brussels,Square de Meeûs 38-40,1000,Bruxelles
OncoDNA,http://www.oncoshare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OncoDNA_squared.png,Healthcare & biotech,2012.0,Wallonia,Rue Louis Breguet 1,6041,Charleroi
Oncoradiomics,http://www.oncoradiomics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Oncoradiomics_squared.png,Healthcare & biotech,2016.0,Wallonia,Boulevard de Patience et Beaujonc 3,4000,Liège
Ontoforce,http://www.ontoforce.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ontoforce_squared.png,Healthcare & biotech,2011.0,Flanders,Moutstraat 108-110,9000,Gent
Open Analytics,http://www.openanalytics.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Open-Analytics_squared.png,"RPA, Internal Data & Intelligence",2013.0,Flanders,Jupiterstraat 20,2600,Antwerpen
OTIV,http://www.otiv.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OTIV_squared.png,"Automotive, mobility & travel",2020.0,Flanders,Nieuwewandeling 62,9000,Gent
Otrema,http://www.otrema.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Otrema_squared.png,"Agritech, Cleantech & energy",2015.0,Brussels,Avenue de la Croix du Sud 4,1200,Woluwe-Saint-Lambert
Phished,http://phished.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Phished_squared.png,"Security, Cyber-Security",2019.0,Flanders,Bondgenotenlaan 138,3000,Leuven
Pick-it,http://www.pickit3d.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Pick-it_squared.png,Industrial,2016.0,Flanders,Rue du Duc 23,1150,Woluwe-Saint-Pierre
PixelVision,http://www.pixelvision.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/PixelVision_squared.png,Image & video processing,2015.0,Flanders,Kempische steenweg 303 / 23,3500,Hasselt
Piximate,http://www.piximate.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Piximate_squared.png,Image & video processing,2016.0,Wallonia,Avenue Reine Astrid 92,1310,La Hulpe
Qaelum,https://qaelum.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Qaelum_squared.png,Healthcare & biotech,2011.0,Flanders,Kolonel Begaultlaan 1B,3012,Leuven
Reimagine,http://www.reimagine.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Logo-Reimagine_squared.png,Services,2018.0,Wallonia,Lenneke Marelaan 6,1932,Zaventem
Retailsonar,http://retailsonar.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Retailsonar_squared.png,Retail & telecom,2011.0,Flanders,Ferdinand Lousbergskaai 103 / 3,9000,Gent
RetViews,http://retviews.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RetViews_squared.png,Retail & telecom,2017.0,Brussels,Avenue Louise 123,1050,Bruxelles
RiskConcile,http://www.riskconcile.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RiskConcile_squared.png,Legal & FinTech,2015.0,Flanders,Kolonel Begaultlaan 1a / 4A,3012,Leuven
Roborana,http://roborana.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Roborana_squared.png,"Security, Cyber-Security",2017.0,Flanders,Veldkant 33 A,2550,Kontich
Robovision,http://www.robovision.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Robovision_squared.png,Image & video processing,2011.0,Flanders,Foreestelaan 88,9000,Gent
Sagacify,http://www.sagacify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/new_logo_squared.png,Services,2012.0,Brussels,Avenue de Broqueville 12,1150,Woluwe-Saint-Pierre
Sailsense,http://www.sailsense.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sailsense_squared.png,"Automotive, mobility & travel",2017.0,Brussels,Avenue Louise 54,1050,Bruxelles
Salesflare,https://salesflare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Salesflare_squared.png,Sales & Marketing,2014.0,Flanders,Delacenseriestraat 14,2018,Antwerpen
Say It Labs,http://www.sayitlabs.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Say-It-Labs_squared.png,Speech & Text,2019.0,Flanders,Domeinstraat 58,3010,Leuven
SCM Revamp,http://www.scmrevamp.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SCM-Revamp_squared.png,Industrial,2011.0,Wallonia,Clos Saint Feuillien(R) 5,7070,Le Roeulx
SEAFAR,http://www.seafar.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SEAFAR_squared.png,"Automotive, mobility & travel",2018.0,Flanders,Schaliënstraat 3,2000,Antwerpen
SeeMe,http://seeme.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SeeMe_squared.png,Image & video processing,2012.0,Flanders,Lindekensweg 3,1652,Beersel
Senhive,http://senhive.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Senhive_squared.png,"Security, Cyber-Security",2019.0,Flanders,Kempische steenweg 293A / 23,3500,Hasselt
Sensifai,http://www.sensifai.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sensifai_squared.png,Image & video processing,2016.0,Brussels,Chaussée de Malines 455 / 1006,1950,Kraainem
Shavatar,http://www.shavatar.me/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Shavatar_squared.png,Retail & telecom,2019.0,Flanders,Hooiberghoeve 3,2390,Malle
Showpad,http://www.showpad.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Showpad_squared.png,Sales & Marketing,2011.0,Flanders,Moutstraat 62,9000,Gent
Skalup,http://www.skalup.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-4_squared.png,Services,2015.0,Wallonia,Avenue Reine Astrid(NR) 16,5000,Namur
Solventure Life,http://www.solventuregroup.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Solventure-Life_squared.png,"RPA, Internal Data & Intelligence",2017.0,Flanders,Sluisweg 1/18b,9000,Gent
Sortlist,https://www.sortlist.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sortlist_squared.png,Sales & Marketing,2013.0,Wallonia,Avenue Zénobe Gramme 29,1300,Wavre
SoundTalks,http://www.soundtalks.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SoundTalks_squared.png,"Agritech, Cleantech & energy",2011.0,Flanders,Interleuvenlaan 15C,3001,Leuven
Sparkcentral,http://www.twitspark.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sparkcentral_squared.png,Sales & Marketing,2012.0,Flanders,Kempische steenweg 311 / 6.01,3500,Hasselt
Spott,http://www.appiness.mobi/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Spott_squared.png,Sales & Marketing,2014.0,Flanders,Frederik Lintsstraat 57,3000,Leuven
Strategic Water,http://strategicwater.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Strategic-Water_squared.png,"Agritech, Cleantech & energy",2017.0,Flanders,Nieuwbrugkaai 62,9000,Gent
Sumaqua,http://www.sumaqua.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sumaqua_squared.png,"Agritech, Cleantech & energy",2017.0,Flanders,Tiensesteenweg 28,3001,Leuven
Sympl,https://sympl.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sympl_squared.png,HR & Skills,2016.0,Flanders,Broederminstraat 36D / 4.3,2018,Antwerpen
Techwolf,http://www.techwolf.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Techwolf_squared.png,HR & Skills,2018.0,Flanders,Overzet 14B,9000,Gent
Textgain,http://www.textgain.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Textgain_squared.png,Speech & Text,2015.0,Flanders,Lodewijk Van Berckenlaan 180/2,2140,Antwerpen
The Kobi Company,http://thekobi.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/The-Kobi-Company_squared.png,"Agritech, Cleantech & energy",2015.0,Flanders,"irifune,1 -Chome 7-40",455-0032,Nagoya
theMatchbox,http://thematchbox.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/theMatchbox_squared.png,HR & Skills,2015.0,Flanders,Grotehondstraat 44,2018,Antwerpen
ThePickPath,http://thepickpath.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ThePickPath_squared.png,Industrial,2016.0,Wallonia,Place Arthur Maquet 2,4263,Braives
ThinkNext,http://www.thinknext.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ThinkNext_squared.png,Speech & Text,2011.0,Flanders,Minderbroedersstraat 17 / 2,3000,Leuven
Trackuity,http://www.trackuity.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Trackuity_squared.png,Sales & Marketing,2014.0,Flanders,Ridderstraat 15A,9000,Gent
Tusk IC,http://www.tusk-ic.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Tusk-IC_squared.png,Industrial,2018.0,Flanders,Cuperusstraat 5,2018,Antwerpen
UgenTec,http://ugentec.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/UgenTec_squared.png,"RPA, Internal Data & Intelligence",2013.0,Flanders,Kempische steenweg 305 / 200,3500,Hasselt
Uman.ai,http://uman.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Uman_squared.png,"RPA, Internal Data & Intelligence",2019.0,Flanders,Kortrijksestwg.103Kl.Z.Jozefien. 271,9000,Gent
urbantz,http://www.urbantz.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/urbantz_squared.png,Industrial,2015.0,Brussels,Avenue Louise 251,1050,Ixelles
Verbolia,http://verbolia.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Verbolia_squared.png,Sales & Marketing,2018.0,Wallonia,Rue Jean Burgers 2,7850,Enghien
ViBE,http://www.vibeinmotion.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ViBE_squared.png,Image & video processing,2013.0,Wallonia,Rue de la Résistance(WAU) 92 / A,7131,Binche
WeGroup,http://www.wegroup.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/WeGroup_squared.png,Legal & FinTech,2017.0,Flanders,Ottergemsesteenweg-Zuid 808 / 372,9000,Gent
WeSmart,http://www.wesmart.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/WeSmart_squared.png,"Agritech, Cleantech & energy",2016.0,Brussels,Rue Dieudonné Lefèvre 17,1020,Bruxelles
Willow,http://www.contento.us/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Willow_squared.png,Sales & Marketing,2018.0,Flanders,Rue Grande 189,7020,Mons
XenomatiX,http://www.xenomatix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/XenomatiX_squared.png,"Automotive, mobility & travel",2013.0,Flanders,Romeinse straat 6,3001,Leuven
Yagram Health,http://www.yagram.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Yagram-Health_squared.png,Healthcare & biotech,2014.0,Brussels,BOSWEG 37,4645 RB,PUTTE
Yazzoom,http://www.yazzoom.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Yazzoom_squared.png,Industrial,2011.0,Flanders,Moutstraat 88,9000,Gent
Yields,http://yields.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Yields_squared.png,Legal & FinTech,2017.0,Brussels,Oktrooiplein 1 / 201,9000,Gent
