name,url,logo,categories,creation date,region,street,zip_code,city,address,lat,lon
Avalasia,http://www.avalasia.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Avalasia_squared.png,Healthcare & biotech,2011.0,Flanders,Parkstraat 21/0,8930,Menen,Parkstraat 21/0 8930 Menen,50.8003422,3.1254317
Avantopy,http://avantopy.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Avantopy_squared.png,Speech & Text,2019.0,Flanders,Albert Stainierstraat 4,3001,Leuven,Albert Stainierstraat 4 3001 Leuven,50.8710241,4.7227366
Axiles Bionics,http://www.axilesbionics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Axiles-Bionics_squared.png,Healthcare & biotech,2017.0,Brussels,Rue de la Fusée 64,1130,Bruxelles,Rue de la Fusée 64 1130 Bruxelles,50.8789019,4.4200739
Axinesis,http://www.axinesis.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Axinesis_squared.png,Healthcare & biotech,2015.0,Wallonia,Avenue Sabin 3,1300,Wavre,Avenue Sabin 3 1300 Wavre,50.7394066,4.6132607
Bartanel,http://bartanel.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Bartanel_squared.png,Healthcare & biotech,2019.0,Flanders,Hof ter Wilderweg 2,1861,Meise,Hof ter Wilderweg 2 1861 Meise,,
Bingli,http://www.mybingli.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Bingli_squared.png,Healthcare & biotech,2017.0,Flanders,Lange Gasthuisstraat 29 / 12,2000,Antwerpen,Lange Gasthuisstraat 29 / 12 2000 Antwerpen,51.2153311,4.4050482
BioClue,http://www.bioclue.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/BioClue_squared.png,Healthcare & biotech,2019.0,Flanders,Agoralaan Abis,3590,Diepenbeek,Agoralaan Abis 3590 Diepenbeek,,
Oakwood,https://oakwood.global/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Bottist_squared.png,Chatbots & Assistants,2017.0,Flanders,Diepenhorstlaan 5,2288 EW,Rijswijk,Diepenhorstlaan 5 2288 EW Rijswijk,52.0416085,4.3317479
BT Clinical Computing,http://www.btclinicalcomputing.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/BT-Clinical-Computing_squared.png,Healthcare & biotech,2015.0,Wallonia,Avenue Paul Pastur 361,6032,Charleroi,Avenue Paul Pastur 361 6032 Charleroi,50.3978508,4.4220788
Calltic,http://www.calltic.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Calltic_squared.png,Retail & telecom,2017.0,Flanders,Sint-Denijslaan 201,9000,Gent,Sint-Denijslaan 201 9000 Gent,51.0359745,3.7050839
